id;name;country
1;Волгоград;1
2;Екатеринбург;1
3;Казань;1
4;Киров;1
5;Королёв;1
6;Москва;1
7;Нефтекамск;1
8;Пермь;1
9;Самара;1
10;Санкт-Петербург;1
11;Смоленск;1
12;Сочи;1
13;Ярославль;1
;;
